Station,Station Name,Station - ST_CEN_CD,Station - DT_CEN_CD,Station - censuscode,Station - RegionId,Scale,Units,2007,2008,2009,2010,2011,2012,2013
IN-BR-PA,Patna,10,28,230,IN-BR-PA,units,μg/m3,61.26024065,69.95949894,71.41600805,67.81720645,65.1167119,66.29387697,71.3533974
IN-BR-PB,Purba Champaran,10,2,204,IN-BR-PB,units,μg/m3,67.14898783,69.99276516,74.52007696,72.53112816,69.90045651,71.66940534,75.04279895
IN-BR-PU,Purnia,10,9,211,IN-BR-PU,units,μg/m3,52.56718774,56.22558457,61.80992882,61.59943351,55.78579864,66.46290924,56.27625213
IN-BR-RO,Rohtas,10,32,234,IN-BR-RO,units,μg/m3,51.32671097,60.3588141,61.8481382,54.97532155,57.8324586,54.30808831,62.42021774
IN-BR-SA,Saharsa,10,12,214,IN-BR-SA,units,μg/m3,58.06134939,62.9068525,67.51492268,66.72507626,60.9536789,69.47731509,63.79909919
IN-BR-SR,Samastipur,10,19,221,IN-BR-SR,units,μg/m3,63.53605792,69.97244719,73.36517789,72.30354135,66.83111476,71.61542868,71.13755774
IN-BR-SN,Saran (chhapra),10,17,219,IN-BR-SN,units,μg/m3,67.22857266,75.40068053,78.40268015,73.42330886,72.11158882,72.64821392,78.49735631
IN-BR-SH,Sheikhpura,10,26,228,IN-BR-SH,units,μg/m3,56.35381989,63.51393685,63.30023672,65.02276627,60.86382489,61.81013365,63.62785326
IN-BR-SO,Sheohar,10,3,205,IN-BR-SO,units,μg/m3,64.51151264,66.56142975,72.85618563,72.14560049,66.57767425,72.58870686,72.47657776
IN-BR-SI,Sitamarhi,10,4,206,IN-BR-SI,units,μg/m3,62.28147857,64.51234164,70.53856624,70.49986151,64.11776901,70.9899235,69.90536624
IN-BR-SW,Siwan,10,16,218,IN-BR-SW,units,μg/m3,70.38514764,77.045753,79.88186199,74.38214847,75.70898409,73.82103881,80.94868865
IN-BR-SU,Supaul,10,6,208,IN-BR-SU,units,μg/m3,54.89613729,56.58020131,63.35248311,62.21848419,56.61541479,65.88758241,57.85937856
IN-BR-VA,Vaishali,10,18,220,IN-BR-VA,units,μg/m3,65.46106315,73.29739478,75.85061205,73.39539565,69.17249305,71.34173432,75.63833687
IN-CG-BA,Bastar,22,15,414,IN-CG-BA,units,μg/m3,28.49550031,33.82292405,31.6806323,28.87072789,29.50362047,29.76652627,32.66606028
IN-CG-BI,Bijapur (Chhattisgarh),22,18,417,IN-CG-BI,units,μg/m3,29.22766892,32.67235572,30.58129179,27.89476542,29.47852734,29.10660225,32.629652
IN-CG-BR,Bilaspur (Chhattisgarh),22,7,406,IN-CG-BR,units,μg/m3,39.73579921,43.17420496,43.52494749,40.0268535,40.79491068,39.8932719,45.39810427
IN-CG-DB,Dakshin Bastar Dantewada,22,17,416,IN-CG-DB,units,μg/m3,27.30233041,30.8847059,29.27726899,26.65224496,27.87966249,27.56525872,30.87456888
IN-CG-DH,Dhamtari,22,13,412,IN-CG-DH,units,μg/m3,38.09425549,46.18816998,41.28999613,38.67747891,38.42698408,39.70113233,43.90094705
IN-CG-JA,Jashpur,22,3,402,IN-CG-JA,units,μg/m3,34.718836,39.33455268,39.52478756,34.25948725,37.71295111,35.49494391,38.75693294
IN-CG-KM,Kabeerdham,22,8,407,IN-CG-KM,units,μg/m3,40.54153831,43.55093594,43.44956885,40.12091706,40.23804867,40.53299495,46.69004792
IN-CG-KO,Korba,22,5,404,IN-CG-KO,units,μg/m3,37.4100341,41.11879417,42.36351517,37.97932979,39.83441171,37.69624774,42.71026326
IN-CG-KY,Koriya,22,1,400,IN-CG-KY,units,μg/m3,35.51009889,39.65420945,40.16075549,35.07717532,37.78485145,36.88183517,39.61954006
IN-CG-MA,Mahasamund,22,12,411,IN-CG-MA,units,μg/m3,39.84737305,43.5077972,43.88270351,40.10743864,40.77112886,40.12479833,44.99305425
IN-CG-NA,Narayanpur,22,16,415,IN-CG-NA,units,μg/m3,30.31029935,34.9307041,32.66064413,30.01742912,30.77874012,31.60384817,34.42941952
IN-CG-RI,Raigarh (Chhattisgarh),22,4,403,IN-CG-RI,units,μg/m3,36.55544332,40.55794737,41.73602612,36.93948964,38.94563892,37.38182899,41.24480314
IN-CG-RN,Rajnandgaon,22,9,408,IN-CG-RN,units,μg/m3,42.3426651,45.95316479,44.47314172,41.27383777,40.88168717,41.69448722,48.00447965
IN-CG-SU,Surguja,22,2,401,IN-CG-SU,units,μg/m3,35.25001494,39.71306626,40.4789891,35.62129706,37.6909176,36.62782266,39.93410332
IN-CG-UB,Uttar Bastar Kanker,22,14,413,IN-CG-UB,units,μg/m3,34.23381344,41.45245699,36.6381463,33.79814288,34.27152731,35.93345058,39.25262941
IN-JH-BO,Bokaro,20,10,355,IN-JH-BO,units,μg/m3,45.94687995,53.92775165,50.43257422,49.4645463,49.01623046,48.26962613,53.31353575
IN-JH-CH,Chatra,20,2,347,IN-JH-CH,units,μg/m3,42.61569575,51.29122616,47.11315785,45.50057692,47.88295949,44.50320988,49.56396619
IN-JH-DH,Dhanbad,20,9,354,IN-JH-DH,units,μg/m3,44.99839427,51.80620691,51.06820743,50.0266441,48.25132869,49.11351463,54.02265709
IN-JH-DE,Deoghar,20,5,350,IN-JH-DE,units,μg/m3,43.87612158,49.82480017,50.42582893,51.44776037,48.54039428,48.77112754,53.81490142
IN-JH-DU,Dumka,20,17,362,IN-JH-DU,units,μg/m3,44.2283269,48.73979852,50.46288594,51.46295015,47.08268909,48.29445631,52.09381937
IN-JH-GA,Garhwa,20,1,346,IN-JH-GA,units,μg/m3,40.5324675,47.04397981,47.04411883,42.31066837,43.23510436,41.81851535,46.92423005
IN-JH-GI,Giridih,20,4,349,IN-JH-GI,units,μg/m3,44.77493566,53.47025781,50.62128061,50.85599515,49.94988935,48.76119032,53.80932276
IN-JH-GO,Godda,20,6,351,IN-JH-GO,units,μg/m3,48.13826464,51.40904751,54.55144586,54.44416283,51.58866286,54.02756839,55.03689359
IN-JH-GU,Gumla,20,21,366,IN-JH-GU,units,μg/m3,37.41469874,43.75624591,41.97893426,37.67492001,40.91899338,38.2113131,41.29403883
IN-JH-HA,Hazaribagh,20,15,360,IN-JH-HA,units,μg/m3,43.01695925,51.2516535,47.21288297,46.78446616,48.02135524,45.36056932,50.28796202
IN-JH-JA,Jamtara,20,18,363,IN-JH-JA,units,μg/m3,43.50751009,48.4070646,49.81328191,49.62123922,46.95952855,48.0946514,52.42183008
IN-JH-KH,Khunti,20,20,365,IN-JH-KH,units,μg/m3,41.12489619,50.70364821,45.02804187,41.59559505,44.20748946,41.51905654,44.51428686
