State,Districts,Annual Allocation - 2006-07,Funds Released - 2006-07,Annual Allocation - 2007-08,Funds Released - 2007-08,Annual Allocation - 2008-09,Funds Released - 2008-09,Annual Allocation - 2009-10,Funds Released - 2009-10,Annual Allocation - 2010-11,Funds Released - 2010-11,Annual Allocation - 2011-12,Funds Released - 2011-12,Annual Allocation - 2012-13,Funds Released - 2012-13,Annual Allocation - 2013-14,Funds Released - 2013-14,Total Funds Released from 2006-07 to 2013-14
Bihar,Banka,12.95,0,15.67,14.2,15.67,11.06,15.67,15.67,15.67,15.67,16.81,14.72,16.81,6.44,20.61,10,87.76
Bihar,Begusarai,13.44,0,16.59,15.03,16.59,11.5,16.59,16.59,16.59,16.59,17.92,12.88,17.92,18.2,21.98,15.78,106.57
Bihar,Bhagalpur,13.74,0,17.19,15.57,17.19,11.6,17.19,13,17.19,21.38,18.64,3,18.64,11.87,22.86,10,86.42
Bihar,Bhojpur,13.47,0,16.67,12.85,16.67,11.94,16.67,15,16.67,18.34,18.01,14.44,18.01,8.85,22.09,14.34,95.76
Bihar,Buxar,12.24,0,14.31,12.98,14.31,9.72,14.31,10.79,14.31,17.83,15.18,11.08,15.18,11.92,18.62,16.51,90.83
Bihar,Darbhanga,14.67,0,18.97,17.17,18.97,13.08,18.97,14.34,18.97,23.6,20.78,11.14,20.78,20.78,25.49,0,100.11
Bihar,Gaya,15.81,0,21.18,19.16,21.18,14.31,21.18,16.07,21.18,26.29,23.44,15.63,23.44,8.17,28.75,23.43,123.06
Bihar,Gopalganj,13.24,0,16.23,14.7,16.23,10.99,16.23,16.23,16.23,16.23,17.49,11.96,17.49,23.02,21.45,10,103.13
Bihar,Jamui,12.72,0,15.24,13.82,15.24,10.32,15.24,11.53,15.24,18.95,16.3,14.2,16.3,13.15,20,8.46,90.43
Bihar,Jehanabad ,12.33,0,14.48,13.13,14.48,9.79,14.48,11.41,14.48,17.55,15.38,10.18,14.02,13.23,17.21,13.09,88.38
Bihar,Kaimur (Bhabua),12.69,0,15.17,13.76,15.17,10.23,15.17,11.47,15.17,18.87,16.22,11.3,16.22,7.19,19.89,9.43,82.25
Bihar,Katihar,13.87,0,17.44,15.8,17.44,11.81,17.44,13.58,17.44,17.44,18.95,3.94,18.95,22.03,23.24,20.12,104.72
Bihar,Khagaria,12.03,0,13.89,12.6,13.89,9.38,13.89,10.5,13.89,17.28,14.68,7.95,14.68,5.87,17.99,10,73.58
Bihar,Kishanganj,12.2,0,14.23,12.91,14.23,9.66,14.23,14.23,14.23,14.23,15.08,7.65,15.08,13.26,18.5,14.27,86.21
Bihar,Lakhisarai,11.4,0,12.69,11.52,12.69,8.77,12.69,9.55,12.69,15.83,13.23,9.55,13.23,8.59,16.23,10,73.81
Bihar,Madhepura,12.42,0,14.65,13.29,14.65,9.96,14.65,13.19,14.65,16.11,15.59,12.95,15.59,9.29,19.13,15.69,90.48
Bihar,Madhubani,15.43,0,20.43,18.5,20.43,18.03,20.43,14.39,20.43,26.47,22.53,14.56,22.53,10.43,27.63,24.05,126.43
Bihar,Munger,11.83,0,13.52,12.26,13.52,9.9,13.52,10.04,13.52,17,14.23,10.35,14.23,14.23,17.46,7.67,81.45
Bihar,Muzaffarpur,15.52,0,20.59,18.63,20.59,14.88,20.59,15.33,20.59,25.85,22.73,14.8,22.73,14.68,27.88,7.6,111.77
Bihar,Nalanda,13.61,0,16.94,15.35,16.94,12.34,16.94,12.55,16.94,21.33,18.34,10.74,18.34,18.34,22.51,16.71,107.36
Bihar,Nawada,13,0,15.76,14.3,15.76,10.73,15.76,11.98,15.76,19.54,16.92,15.06,16.92,10.74,20.75,15.99,98.34
Bihar,Paschim Champaran,15.41,0,20.4,18.46,20.4,14.02,20.4,15.36,20.4,25.44,22.5,13.38,22.5,22.5,27.62,19.45,128.61
Bihar,Patna,16.67,0,22.79,20.61,22.79,15.39,22.79,17.18,22.79,28.4,25.38,16.62,25.38,17.05,31.13,0,115.25
Bihar,Purbi Champaran,16.02,0,21.57,19.51,21.57,15.76,21.57,21.57,21.57,21.57,23.9,11.22,23.9,23.78,29.31,21.37,134.78
Bihar,Purnia,14.12,0,17.92,16.23,17.92,12.58,17.92,17.92,17.92,17.92,19.52,9.12,19.52,19.52,23.95,0,93.29
Bihar,Rohtas,14.22,0,18.12,14.14,18.12,13.46,18.12,14.31,18.12,21.93,19.76,12.78,19.76,16.55,24.23,10,103.17
Bihar,Saharsa,12.36,0,14.52,13.17,14.52,9.8,14.52,11.74,14.52,17.3,15.44,9.35,15.44,9.63,18.94,14.6,85.59
Bihar,Samastipur,15.01,0,19.62,17.75,19.62,13.24,19.62,19.62,19.62,19.62,21.56,11.19,21.56,10.44,26.44,19.96,111.82
Bihar,Saran,14.75,0,19.11,17.3,19.11,12.92,19.11,14.49,19.11,23.73,20.95,12.74,20.95,11.72,25.68,10,102.9
Bihar,Sheikhpura,10.82,0,11.58,10.53,11.58,7.81,11.58,11.58,11.58,11.58,11.9,6.57,11.9,17.23,14.59,9.81,75.11
Bihar,Sheohar,10.71,0,11.36,10.32,11.36,7.67,11.36,8.59,11.36,14.13,11.63,9.14,11.63,1.93,14.26,9.88,61.66
Bihar,Sitamarhi,13.97,0,17.63,15.97,17.63,12.13,17.63,13.28,17.63,21.98,19.17,15.27,19.17,7.98,23.51,19.94,106.55
Bihar,Siwan,0,0,0,0,0,0,0,0,0,0,0,0,21.42,19.28,26.27,10,29.28
Bihar,Supaul,12.86,0,15.51,14.05,15.51,11.41,15.51,11.51,15.51,19.51,16.62,9.78,16.62,7.24,20.38,10,83.5
Bihar,Vaishali,13.91,0,17.5,15.85,17.5,11.81,17.5,13.46,17.5,21.54,19.02,12.4,19.02,25.64,23.33,15.78,116.48
Bihar,Total (Development Grant),486.48,0,602.99,541.78,602.99,421.54,602.99,493.21,602.99,708.91,652.05,408.58,684.7,490.51,839.8,485.8,3550.33
Bihar,Capacity Building ,36,14.46,36,0,36,0,36,25.78,36,31.34,36,0,38,0,38,0,71.58
Bihar,Grand Total (DG +CB),522.48,14.46,638.99,541.78,638.99,421.54,638.99,518.99,638.99,740.25,688.05,408.58,722.7,490.51,877.8,485.8,3621.91
Chhattisgarh,Bastar,16.64,0,22.86,20.67,22.86,17.96,22.86,22.86,22.86,22.86,25.45,25.45,19.45,19.45,23.85,8.64,137.89
Chhattisgarh,Bijapur,0,0,0,0,0,0,0,0,0,0,0,0,15.56,15.56,19.08,10,25.56
Chhattisgarh,Bilaspur,15.63,0,20.87,18.88,20.87,16.83,20.87,20.87,20.87,20.87,23.07,23.07,23.07,13.62,28.28,19.49,133.63
Chhattisgarh,Dantewada,17.04,0,23.66,21.39,23.66,21.28,23.66,12.75,23.66,34.57,26.42,26.42,18.88,18.88,23.16,10.87,146.16
Chhattisgarh,Dhamtari,12.25,0,14.36,13.05,14.36,12.77,14.36,14.36,14.36,14.36,15.24,15.24,15.24,15.24,18.69,13.7,98.72
Chhattisgarh,Jashpur,12.91,0,15.62,14.16,15.62,12.73,15.62,15.62,15.62,15.62,16.76,16.76,16.76,5,20.56,18.45,98.34
Chhattisgarh,Kabirdham,13.13,0,13.39,12.15,13.39,10.67,13.39,13.39,13.39,13.39,14.07,14.07,14.07,14.07,17.27,11.12,88.86
Chhattisgarh,Kanker,11.75,0,16.06,12.38,16.06,14.37,16.06,12.52,16.06,19.6,17.29,17.29,17.29,15.48,21.21,10.82,102.46
Chhattisgarh,Korba,13.48,0,16.74,19.57,16.74,13.32,16.74,16.74,16.74,16.74,18.1,18.1,18.1,18.1,22.2,19.52,122.09
Chhattisgarh,Koriya,12.98,0,15.77,19.29,15.77,12.11,15.77,15.77,15.77,15.77,16.94,16.94,16.94,16.94,20.76,8.24,105.06
Chhattisgarh,Mahasammund,12.66,0,15.15,18.74,15.15,12.33,15.15,15.15,15.15,15.15,16.19,16.19,16.19,13.99,19.86,12.36,103.91
Chhattisgarh,Narayanpur,0,0,0,0,0,0,0,0,0,0,0,0,10.93,5.61,13.41,9.4,15.01
Chhattisgarh,Raigarh,13.93,0,17.6,20.94,17.6,13.52,17.6,17.6,17.6,17.6,19.14,9.28,19.14,11.8,23.47,20.01,110.75
Chhattisgarh,Rajnandgaon,14.32,0,18.35,16.62,18.35,15.78,18.35,18.35,18.35,18.35,20.03,20.03,20.03,17.53,24.57,19.94,126.6
Chhattisgarh,Sarguja,17.78,0,25.05,18.38,25.05,18.77,25.05,11.62,25.05,38.48,28.1,28.1,28.1,28.1,34.46,0,143.45
Chhattisgarh,Total (Development Grant),184.5,0,235.48,226.22,235.48,192.44,235.48,207.6,235.48,263.36,256.8,246.94,269.75,229.37,330.83,192.56,1558.49
Chhattisgarh,Capacity Building ,13,9.1,13,0,13,13,13,8.46,13,17.54,13,13,15,0,15,0,61.1
Chhattisgarh,Grand Total (DG +CB),197.5,9.1,248.48,226.22,248.48,205.44,248.48,216.06,248.48,280.9,269.8,259.94,284.75,229.37,345.83,192.56,1619.59
Gujarat,Banas Khantha,16.66,0,22.87,0.1,22.87,0,22.87,20.58,22.87,22.87,25.47,25.47,25.47,14.39,31.24,0,83.41
Gujarat,Dahod,13.74,0,17.22,0.1,17.22,0,17.22,15.49,17.22,17.22,18.68,18.68,18.68,9.29,22.92,10.63,71.41
Gujarat,Dang,10.83,0,11.62,0.1,11.62,0,11.62,10.46,11.62,11.62,11.94,11.94,11.94,5.02,14.64,7.52,46.66
