State,Districts,Annual Allocation - 2006-07,Funds Released - 2006-07,Annual Allocation - 2007-08,Funds Released - 2007-08,Annual Allocation - 2008-09,Funds Released - 2008-09,Annual Allocation - 2009-10,Funds Released - 2009-10,Annual Allocation - 2010-11,Funds Released - 2010-11,Annual Allocation - 2011-12,Funds Released - 2011-12,Annual Allocation - 2012-13,Funds Released - 2012-13,Annual Allocation - 2013-14,Funds Released - 2013-14,Total Funds Released from 2006-07 to 2013-14
Madhya Pradesh,Damoh,13.81,1,17.37,15.73,17.37,12.66,17.37,12.53,17.37,17.37,18.86,18.86,18.86,9.44,23.14,19.32,106.91
Madhya Pradesh,Dhar,14.88,1,19.42,17.57,19.42,13.47,19.42,11.37,19.42,27.47,21.33,21.33,21.33,21.33,26.15,15.82,129.36
Madhya Pradesh,Dindori,13.29,0,16.38,14.68,16.38,11.17,16.38,10.52,16.38,16.38,17.67,17.67,17.67,3.8,21.67,13.66,87.88
Madhya Pradesh,Guna,14.18,1,18.06,15.31,18.06,12.59,18.06,13.82,18.06,18.06,19.69,19.69,18.2,20.21,22.31,10,110.68
Madhya Pradesh,Jhabua,14,1,17.72,17.01,17.72,11.72,17.72,9.64,17.72,25.8,19.28,8.87,15.55,17.09,19.07,5.63,96.76
Madhya Pradesh,Katni,13.01,2.05,15.81,13.66,15.81,10.89,15.81,11.79,15.81,19.83,16.99,8.52,16.99,10.31,20.84,11.54,88.59
Madhya Pradesh,Khandwa,14.61,1,18.9,17.11,18.9,14.79,18.9,12.62,18.9,25.18,20.7,1.14,18.36,24.09,22.51,0,95.93
Madhya Pradesh,Khargone,14.59,1,18.86,16.73,18.86,13.29,18.86,18.86,18.86,18.86,20.66,20.66,20.66,20.66,25.34,10.68,120.74
Madhya Pradesh,Mandla,13.05,1,15.89,11.24,15.89,12.36,15.89,12.79,15.89,18.99,17.08,17.08,17.08,12.53,20.95,12.94,98.93
Madhya Pradesh,Panna,13.47,1,16.73,15.15,16.73,12.45,16.73,12.4,16.73,21.06,18.08,18.08,18.08,9.53,22.17,10,99.67
Madhya Pradesh,Rajgarh,13.61,1,16.98,15.38,16.98,12.72,16.98,11.92,16.98,22.04,18.39,18.39,18.39,13.56,22.57,15.89,110.9
Madhya Pradesh,Rewa,14.52,1,18.72,17.13,18.72,13.14,18.72,13.9,18.72,23.54,20.48,20.48,20.48,20.48,25.13,13.54,123.21
Madhya Pradesh,Satna,14.8,1,19.27,15.85,19.27,13.42,19.27,14.65,19.27,23.89,21.15,3.7,21.15,28.41,25.94,12.57,113.49
Madhya Pradesh,Seoni,14.41,0,18.54,17.21,18.54,12.48,18.54,12.27,18.54,18.54,20.26,20.26,20.26,11.61,24.84,19.34,111.71
Madhya Pradesh,Shahdol,13.8,0,17.33,15.66,17.33,13.9,17.33,11.81,17.33,22.85,18.81,18.81,17.36,14.55,21.29,18.55,116.13
Madhya Pradesh,Sheopur,12.98,1,15.77,14.29,15.77,0,15.77,11.37,15.77,20.17,16.93,5.67,16.93,19.94,20.78,13.54,85.98
Madhya Pradesh,Shivpuri,15.27,1,20.2,18.28,20.2,15.45,20.2,14.84,20.2,25.56,22.26,13.87,22.26,22.26,27.3,10.21,121.47
Madhya Pradesh,Sidhi,15.81,0,21.22,16.34,21.22,17.84,21.22,16.09,21.22,26.35,23.49,23.49,20.86,8.21,25.58,16.8,125.12
Madhya Pradesh,Singrauli,0,0,0,0,0,0,0,0,0,0,0,0,17.4,12,21.35,10,22
Madhya Pradesh,Tikamgarh,13.17,1,16.11,14.11,16.11,10.99,16.11,12.84,16.11,19.38,17.35,17.35,17.35,17.35,21.28,12.55,105.57
Madhya Pradesh,Umaria,12.22,0,14.29,20.46,14.29,9.79,14.29,12.86,14.29,15.72,15.16,15.16,15.16,9.53,18.59,0,83.52
Madhya Pradesh,Total (Development Grant),337.49,20.05,428.4,380.82,428.4,300.44,428.4,309.99,428.4,511.8,466.5,390.96,556.88,455.33,682.99,279.21,2648.6
Madhya Pradesh,Capacity Building ,24,14.96,24,24,24,24,24,5.66,24,24,24,12.41,30,20.74,30,0,125.77
Madhya Pradesh,Grand Total (DG +CB),361.49,35.01,452.4,404.82,452.4,324.44,452.4,315.65,452.4,535.8,490.5,403.37,586.88,476.07,712.99,279.21,2774.37
Maharashtra,Ahmednagar,20.71,0,30.68,0.1,30.68,0,30.68,27.61,30.68,33.75,34.85,34.85,34.85,34.85,42.74,26.93,158.09
Maharashtra,Amravati,17.31,0,24.13,0.1,24.13,0,24.13,21.72,24.13,26.54,26.98,15.87,26.98,28.05,33.09,19.28,111.56
Maharashtra,Aurangabad,16.93,0,23.37,0.1,23.37,0,23.37,21.03,23.37,25.71,26.08,26.08,26.08,20.54,31.99,27.53,120.99
Maharashtra,Bhandara,12.68,0,15.16,0.1,15.16,0,15.16,13.64,15.16,16.68,16.21,6.57,16.21,19.73,19.88,14.83,71.55
Maharashtra,Chandrapur,16.4,0,22.36,0.1,22.36,0,22.36,20.12,22.36,24.6,24.86,24.86,24.86,24.86,30.48,20.67,115.21
Maharashtra,Dhule,14.51,0,18.71,0.1,18.71,0,18.71,16.83,18.71,20.59,20.47,20.47,20.47,20.47,25.12,7.61,86.07
Maharashtra,Gadchiroli,16.2,0,22.02,0.1,22.02,0,22.02,19.81,22.02,24.23,24.44,14.66,24.44,24.44,29.99,22.38,105.62
Maharashtra,Gondia,13.31,0,16.4,0.1,16.4,0,16.4,14.76,16.4,18.04,17.69,17.69,17.69,17.69,21.68,18.93,87.21
Maharashtra,Hingoli,12.79,0,15.39,0.1,15.39,0,15.39,13.85,15.39,16.93,16.48,16.48,16.48,16.48,20.21,15.77,79.61
Maharashtra,Nanded,17.07,0,23.63,0.1,23.63,0,23.63,21.27,23.63,25.99,26.39,26.39,26.39,17.47,32.37,24.91,116.13
Maharashtra,Nandurbar,13.61,0,16.98,0.1,16.98,0,16.98,15.28,16.98,18.68,18.39,18.39,18.39,18.39,22.55,17.98,88.82
Maharashtra,Yavatmal,17.63,0,24.74,0.1,24.74,0,24.74,22.27,24.74,27.21,27.72,27.72,27.72,18,34,20,115.3
Maharashtra,Total (Development Grant),189.15,0,253.57,1.2,253.57,0,253.57,228.19,253.57,278.95,280.56,250.03,280.56,260.97,344.1,236.82,1256.16
Maharashtra,Capacity Building ,12,6.19,12,0,12,29.81,12,0,12,12,12,5.06,12,6.94,12,10,70
Maharashtra,Grand Total (DG +CB),201.15,6.19,265.57,1.2,265.57,29.81,265.57,228.19,265.57,290.95,292.56,255.09,292.56,267.91,356.1,246.82,1326.16
Manipur,Chandel,11.24,0,12.41,11.27,12.41,8.66,12.41,5.81,12.41,19.01,12.9,12.9,12.9,4.49,15.82,8.09,70.23
Manipur,Churchandrapur ,11.86,0,13.6,12.34,13.6,1.36,13.6,10.13,13.6,17.07,14.33,14.33,14.33,3.47,17.58,15.79,74.49
Manipur,Tamenglong,11.59,0,13.08,11.35,13.08,0,13.08,11.77,13.08,16.22,13.7,4.26,13.7,12.9,16.8,14.05,70.55
Manipur,Total (Development Grant),34.69,0,39.09,34.96,39.09,10.02,39.09,27.71,39.09,52.3,40.93,31.49,40.93,20.86,50.2,37.93,215.27
Manipur,Capacity Building ,3,0,3,0,3,4.6,3,0,3,2.02,3,0.67,3,1,3,1.9,10.19
Manipur,Grand Total (DG +CB),37.69,0,42.09,34.96,42.09,14.62,42.09,27.71,42.09,54.32,43.93,32.16,43.93,21.86,53.2,39.83,225.46
Meghalaya,Ri-bhoi,11.07,0,12.07,0.1,12.07,10.86,12.07,6.61,12.07,12.07,12.49,10.29,12.49,8.6,15.31,4.74,53.27
Meghalaya,South Garo Hills,10.79,0,11.52,0.1,11.52,10.68,11.52,7.03,11.52,16.01,11.83,4.21,11.83,11.52,14.52,11.65,61.2
Meghalaya,West Garo Hills,11.77,0,13.42,0.1,13.42,12.07,13.42,7.5,13.42,19.34,14.12,8.06,14.12,14.09,17.32,15.15,76.31
Meghalaya,Total (Development Grant),33.63,0,37.01,0.3,37.01,33.61,37.01,21.14,37.01,47.42,38.44,22.56,38.44,34.21,47.15,31.54,190.78
Meghalaya,Capacity Building ,3,0,3,0,3,3.93,3,2.36,3,3,3,2.04,3,1.04,3,0.87,13.24
Meghalaya,Grand Total (DG +CB),36.63,0,40.01,0.3,40.01,37.54,40.01,23.5,40.01,50.42,41.44,24.6,41.44,35.25,50.15,32.41,204.02
Mizoram,Lawngtlai,10.78,0,11.51,10.04,11.51,0,11.51,10.16,11.51,12.86,11.82,11.82,11.82,8.58,14.5,12.76,66.22
Mizoram,Saiha ,10.76,0,11.47,9.13,11.47,0,11.47,9.12,11.47,13.82,11.76,11.76,11.76,10.58,14.41,12.6,67.01
Mizoram,Total (Development Grant),21.54,0,22.98,19.17,22.98,0,22.98,19.28,22.98,26.68,23.58,23.58,23.58,19.16,28.91,25.36,133.23
Mizoram,Capacity Building ,2,0,2,0,2,2,2,2,2,2,2,1.32,2,0.26,2,0,7.58
Mizoram,Grand Total (DG +CB),23.54,0,24.98,19.17,24.98,2,24.98,21.28,24.98,28.68,25.58,24.9,25.58,19.42,30.91,25.36,140.81
Nagaland,Kiphrie,0,0,5.39,4.85,5.39,3.82,5.39,5.39,5.39,5.39,5.6,5.6,11.21,5.04,13.75,0,30.09
Nagaland,Longleng,0,0,6.97,4.83,6.97,6.03,6.97,6.97,6.97,6.97,7.24,7.24,10.85,6.5,13.31,0,38.54
Nagaland,Mon,10.95,0,10.5,9.55,10.5,8.98,10.5,10.5,10.5,10.5,10.9,10.91,12.51,12.51,15.34,0,62.95
Nagaland,Tuensang,11.94,0,9.17,8.35,9.17,7.34,9.17,9.17,9.17,9.17,9.53,9.53,12.21,8.58,14.98,9.12,61.26
Nagaland,Wokha,10.75,0,5.01,4.61,5.01,4.14,5.01,5.01,5.01,5.01,5.21,5.2,11.75,4.68,14.41,0,28.65
Nagaland,Total (Development Grant),33.64,0,37.04,32.19,37.04,30.31,37.04,37.04,37.04,37.04,38.48,38.48,58.53,37.31,71.79,9.12,221.49
Nagaland,Capacity Building ,3,0,3,0,3,3,3,6,3,3,3,3,5,4.2,5,0,19.2
Nagaland,Grand Total (DG +CB),36.64,0,40.04,32.19,40.04,33.31,40.04,43.04,40.04,40.04,41.48,41.48,63.53,41.51,76.79,9.12,240.69
Odisha,Bargarh,0,0,0,0,0,0,0,0,0,0,0,0,19.07,17.16,23.38,10,27.16
Odisha,Bolangir ,13.85,0,16.41,11.22,16.41,13.48,16.41,9.45,16.41,23.37,16.41,16.41,16.41,6.13,20.14,13.34,93.4
Odisha,Boudh,11.52,0,12.94,12.61,12.94,1.43,12.94,11.58,12.94,19.79,13.54,13.54,13.54,6.43,16.61,13.98,79.36
Odisha,Deogarh,11.3,0,12.52,16.38,12.52,9.86,12.52,10.38,12.52,14.66,13.03,13.03,13.03,13.03,15.96,9.48,86.82
Odisha,Dhenkanal,12.81,0,15.42,5.1,15.42,6.59,15.42,16.61,15.42,26.12,16.52,16.52,16.52,8.37,20.25,10,89.31
Odisha,Gajapati,12.04,0,13.94,10.64,13.94,14.17,13.94,9.64,13.94,18.24,14.74,14.74,14.74,14.74,18.08,15.83,98
Odisha,Ganjam,16.67,0,22.85,20.66,22.85,17.7,22.85,14.98,22.85,22.85,25.45,25.45,25.45,18.73,31.21,10,130.37
Odisha,Jharsuguda,11.34,0,12.58,16.09,12.58,9.87,12.58,7.54,12.58,12.58,13.1,13.1,13.1,11.14,16.08,11.54,81.86
Odisha,Kalahandi,14.33,0,16.98,14,16.98,14.37,16.98,4.32,16.98,16.98,16.98,16.98,16.98,11.72,20.81,17.58,95.95
Odisha,Kandhamal (Phulbani),13.56,0,16.89,5.1,16.89,17.8,16.89,9.48,16.89,24.3,18.28,18.28,18.28,11.44,22.42,17.99,104.39
Odisha,Keonjhar,14.72,0,19.13,13.82,19.13,18.42,19.13,6.52,19.13,31.74,20.97,20.97,20.97,20.97,25.72,21.16,133.6
Odisha,Koraput,14.36,0,16.82,14.46,16.82,13.39,16.82,5.86,16.82,16.82,16.82,16.82,16.82,3.85,20.63,14.65,85.85
Odisha,Malkangiri,12.63,0,13.84,12.55,13.84,11.22,13.84,8.09,13.84,19.59,13.84,13.84,13.84,3.3,16.97,14.9,83.49
Odisha,Mayurbhanj,16.23,0,22.04,16.23,22.04,19.94,22.04,14.43,22.04,29.65,24.47,24.47,24.47,20.46,30.01,26.79,151.97
Odisha,Nabarangpur,13.05,0,15.04,13.15,15.04,11.77,15.04,9.74,15.04,20.34,15.04,15.04,15.04,11.26,18.45,13,94.3
Odisha,Nuapada,11.97,0,13.07,19.36,13.07,11.22,13.07,7.2,13.07,18.94,13.07,13.07,13.07,9.33,16.03,8.38,87.5
Odisha,Rayagada,13.54,0,15.37,13.93,15.37,10.48,15.37,9.83,15.37,15.37,15.37,15.37,15.37,10.74,18.85,12.41,88.13
Odisha,Sambalpur,13.44,0,16.66,21.47,16.66,12,16.66,7.47,16.66,16.66,18,18,18,6.32,22.08,12.85,94.77
Odisha,Sonepur (Subarnapur),11.46,0,12.48,12.22,12.48,8.97,12.48,8.45,12.48,16.51,12.48,12.48,12.48,8.57,15.31,12.43,79.63
Odisha,Sundargarh,15.53,0,20.69,15.63,20.69,5.16,20.69,28.83,20.69,20.69,22.85,22.85,22.85,10,28.02,17.32,120.48
Odisha,Total (Development Grant),254.35,0,305.67,264.62,305.67,227.84,305.67,200.4,305.67,385.2,320.96,320.96,340.03,223.69,417.01,283.63,1906.34
Odisha,Capacity Building ,19,0,19,19,19,0,19,23.27,19,0,19,4.99,20,16.36,20,0,63.62
Odisha,Grand Total (DG +CB),273.35,0,324.67,283.62,324.67,227.84,324.67,223.67,324.67,385.2,339.96,325.95,360.03,240.05,437.01,283.63,1969.96
Punjab,Hoshiarpur,12.94,0,15.65,0.1,15.65,0,15.65,14.08,15.65,17.22,16.8,14.5,16.8,12.04,20.6,0,57.94
Punjab,Total (Development Grant),12.94,0,15.65,0.1,15.65,0,15.65,14.08,15.65,17.22,16.8,14.5,16.8,12.04,20.6,0,57.94
Punjab,Capacity Building ,1,0,1,0,1,0,1,1,1,1,1,1,1,0.89,1,0,3.89
Punjab,Grand Total (DG +CB),13.94,0,16.65,0.1,16.65,0,16.65,15.08,16.65,18.22,17.8,15.5,17.8,12.93,21.6,0,61.83
Rajasthan,Banswara,13.51,0,16.78,22.7,16.78,11.55,16.78,10.9,16.78,22.66,17.2,17.2,18.4,18.4,22.57,0,103.41
Rajasthan,Barmer,22.17,0,33.59,35.33,33.59,26.12,33.59,12.98,33.59,54.2,38.36,38.36,38.36,38.36,47.05,0,205.35
Rajasthan,Chittaurgarh,15.87,0,21.34,24.31,21.34,16,21.34,8.1,21.34,21.34,16.06,16.06,20.21,20.21,24.79,0,106.02
Rajasthan,Dungarpur,12.61,0,15.04,21.13,15.04,10.59,15.04,4.45,15.04,15.04,16.06,16.06,16.06,13.77,19.7,12.41,93.45
Rajasthan,Jaisalmer,23.95,0,37.11,41,37.11,26.28,37.11,14.99,37.11,37.11,42.59,42.59,42.59,42.59,52.24,0,204.56
Rajasthan,Jalore,15.4,0,20.45,26,20.45,13.81,20.45,10.12,20.45,30.78,22.56,22.56,22.56,15.62,27.67,0,118.89
Rajasthan,Jhalawar,13.55,0,16.85,15.26,16.85,12.88,16.85,4.46,16.85,16.85,18.23,18.23,18.23,18.23,22.36,10,95.91
Rajasthan,Karauli ,13.44,0,16.64,22.6,16.64,11.25,16.64,7.5,16.64,16.64,17.98,17.98,17.98,10.82,22.04,0,86.79
Rajasthan,Pratapgarh,0,0,0,0,0,0,0,0,0,0,10.4,10.4,15.52,15.52,19.03,6.79,32.71
Rajasthan,Sawai Madhopur,12.95,0,15.7,21.73,15.7,12.74,15.7,8.4,15.7,15.7,16.86,16.86,16.86,16.86,20.68,10,102.29
Rajasthan,Sirohi,12.78,0,15.38,18.94,15.38,10.41,15.38,5.67,15.38,15.38,16.46,16.46,16.46,5,20.19,13.1,84.96
Rajasthan,Tonk,13.93,0,17.59,23.43,17.59,14.07,17.59,9.17,17.59,26.01,19.12,19.12,19.12,9.08,23.45,10,110.88
Rajasthan,Udaipur ,17.52,0,24.52,29.67,24.52,17.8,24.52,12.6,24.52,24.52,25.57,25.57,28.95,28.95,35.51,0,139.11
Rajasthan,Total (Development Grant),187.68,0,250.99,302.1,250.99,183.5,250.99,109.34,250.99,296.23,277.45,277.45,291.3,253.41,357.28,62.3,1484.33
Rajasthan,Capacity Building ,12,7.88,12,0,12,0,12,32.08,12,8.45,12,8.7,13,8.68,13,0,65.79
Rajasthan,Grand Total (DG +CB),199.68,7.88,262.99,302.1,262.99,183.5,262.99,141.42,262.99,304.68,289.45,286.15,304.3,262.09,370.28,62.3,1550.12
Sikkim,North District,11.53,0,12.97,0.1,12.97,11.67,12.97,10.86,12.97,15.08,13.58,13.58,13.58,9.68,16.66,8.68,69.65
Sikkim,Total (Development Grant),11.53,0,12.97,0.1,12.97,11.67,12.97,10.86,12.97,15.08,13.58,13.58,13.58,9.68,16.66,8.68,69.65
Sikkim,Capacity Building ,1,0.95,1,0,1,1,1,0.73,1,0.84,1,0.63,1,1.43,1,0,5.58
Sikkim,Grand Total (DG +CB),12.53,0.95,13.97,0.1,13.97,12.67,13.97,11.59,13.97,15.92,14.58,14.21,14.58,11.11,17.66,8.68,75.23
Tamil Nadu,Cuddalore,14.04,0,17.76,0.1,17.76,15.98,17.76,9.7,17.76,17.76,19.33,8.6,19.33,16.4,23.71,11.61,80.15
Tamil Nadu,Dindigul,14.51,0,18.7,0.1,18.7,16.83,18.7,10.32,18.7,18.7,20.46,20.46,20.46,20.36,25.09,12.26,99.03
Tamil Nadu,Nagapattinam,12.63,0,15.06,0.1,15.06,13.55,15.06,8.33,15.06,15.06,16.08,16.08,16.08,4.7,19.73,14.56,72.38
Tamil Nadu,Sivaganga,12.86,0,15.52,0.1,15.52,13.96,15.52,8.71,15.52,15.52,16.63,16.63,16.63,8.81,20.4,15.5,79.23
Tamil Nadu,Tiruvannamalai,14.81,0,19.27,0.1,19.27,17.34,19.27,10.65,19.27,19.27,21.14,14.16,21.14,21.14,25.92,23.11,105.77
Tamil Nadu,Villupuram ,16.09,0,21.73,0.1,21.73,19.55,21.73,14.38,21.73,21.73,24.1,24.1,24.1,24.1,29.56,17.38,121.34
Tamil Nadu,Total (Development Grant),84.94,0,108.04,0.6,108.04,97.21,108.04,62.09,108.04,108.04,117.74,100.03,117.74,95.51,144.41,94.42,557.9
Tamil Nadu,Capacity Building ,6,0,6,0,6,16.32,6,0,6,5.24,6,6,6,4.65,6,0,32.21
Tamil Nadu,Grand Total (DG +CB),90.94,0,114.04,0.6,114.04,113.53,114.04,62.09,114.04,113.28,123.74,106.03,123.74,100.16,150.41,94.42,590.11
Tripura,Dhalai,11.14,0,12.21,0.1,12.21,10.98,12.21,7.69,12.21,12.21,12.66,12.66,12.66,12.66,15.53,12.9,69.2
Tripura,Total (Development Grant),11.14,0,12.21,0.1,12.21,10.98,12.21,7.69,12.21,12.21,12.66,12.66,12.66,12.66,15.53,12.9,69.2
Tripura,Capacity Building ,1,0,1,0,1,0.84,1,0.89,1,1,1,1,1,1,1,0.14,4.87
Tripura,Grand Total (DG +CB),12.14,0,13.21,0.1,13.21,11.82,13.21,8.58,13.21,13.21,13.66,13.66,13.66,13.66,16.53,13.04,74.07
Uttar Pradesh,Ambedkar Nagar,13.2,0,16.14,0.1,16.14,14.52,16.14,6.27,16.14,26.01,17.39,17.39,17.39,0,21.33,10,74.29
Uttar Pradesh,Azamgarh,16,0,21.51,0.1,21.51,19.36,21.51,21.51,21.51,21.51,23.84,11.16,23.84,11.83,29.23,18.07,103.54
Uttar Pradesh,Badaun,15.42,0,20.42,0.1,20.42,18.38,20.42,20.42,20.42,20.42,22.52,16.89,22.52,12.12,27.62,20.61,108.94
Uttar Pradesh,Bahraich ,14.32,0,18.3,0.1,18.3,16.47,18.3,18.3,18.3,18.3,19.98,19.98,19.98,0,24.5,0,73.15
Uttar Pradesh,Balrampur,13.15,0,16.06,0.1,16.06,14.45,16.06,16.06,16.06,16.06,17.28,14.42,17.28,10.12,21.19,14.09,85.3
Uttar Pradesh,Banda ,13.39,0,16.53,0.1,16.53,14.88,16.53,11.35,16.53,21.71,17.84,4.91,17.84,8.57,21.88,0,61.52
Uttar Pradesh,Barabanki,14.68,0,19,0.1,19,17.1,19,13.66,19,24.34,20.82,18.44,20.82,10.45,25.54,0,84.09
Uttar Pradesh,Basti,13.42,0,16.57,0.1,16.57,14.91,16.57,16.57,16.57,16.57,17.9,14.73,17.9,0,21.95,0,62.88
Uttar Pradesh,Chandauli,12.82,0,15.42,0.1,15.42,13.87,15.42,15.42,15.42,15.42,16.52,16.52,16.52,5.9,20.25,0,67.23
Uttar Pradesh,Chitrakoot ,11.97,0,13.81,0.1,13.81,12.43,13.81,11.06,13.81,16.56,14.58,8.38,14.58,0,17.89,13.58,62.11
Uttar Pradesh,Etah,14.83,0,19.29,0.1,19.29,17.36,19.29,19.29,19.29,19.29,21.17,21.17,17.33,0,21.25,17.69,94.9
Uttar Pradesh,Farukkhabad,12.61,0,15.02,0.1,15.02,13.52,15.02,15.02,15.02,15.02,16.03,10.05,16.03,5.98,19.66,0,59.69
Uttar Pradesh,Fatehpur,14.16,0,18,0.1,18,16.2,18,18,18,18,19.62,17.45,19.62,5.01,24.05,11.13,85.89
Uttar Pradesh,Gonda,14.65,0,18.94,0.1,18.94,17.04,18.94,18.94,18.94,18.94,20.74,20.74,20.74,9.39,25.44,18.04,103.19
Uttar Pradesh,Gorakhpur,15.6,0,20.75,0.1,20.75,18.67,20.75,20.75,20.75,20.75,22.92,20.63,22.92,19.28,28.1,0,100.18
Uttar Pradesh,Hamirpur,12.71,0,15.23,0.1,15.23,13.7,15.23,15.23,15.23,15.23,16.29,4.6,16.29,0,19.97,0,48.86
Uttar Pradesh,Hardoi,16.09,0,21.71,0.1,21.71,19.54,21.71,12.81,21.71,26.06,24.07,24.07,24.07,7.79,29.53,0,90.37
Uttar Pradesh,Jalaun ,13.3,0,16.36,0.1,16.36,14.72,16.36,11.59,16.36,21.13,17.64,17.64,17.64,0,21.63,16.18,81.36
Uttar Pradesh,Jaunpur,16.01,0,21.54,0.1,21.54,19.38,21.54,21.54,21.54,21.54,23.87,18.06,23.87,0,29.26,0,80.62
Uttar Pradesh,Kashganj,0,0,0,0,0,0,0,0,0,0,0,0,15.96,10.49,19.57,0,10.49
Uttar Pradesh,Kaushambi,12.22,0,14.27,0.1,14.27,12.84,14.27,14.27,14.27,14.27,15.13,15.13,15.13,4.28,18.56,0,60.89
Uttar Pradesh,Kushinagar,14.41,0,18.47,0.1,18.47,16.62,18.47,18.47,18.47,18.47,20.18,20.18,20.18,0,30.59,23.36,97.2
Uttar Pradesh,Lakhimpurkhiri,16.45,0,22.43,0.1,22.43,20.19,22.43,22.43,22.43,22.43,24.94,24.94,24.94,7.6,24.75,19.15,116.84
Uttar Pradesh,Lalitpur,12.9,0,15.6,0.1,15.6,14.04,15.6,13.88,15.6,17.32,16.74,16.74,16.74,8.97,20.53,0,71.05
Uttar Pradesh,Maharajganj,13.58,0,16.88,0.1,16.88,15.12,16.88,16.88,16.88,16.88,18.27,7.79,18.27,13.19,22.4,12.76,82.72
Uttar Pradesh,Mahoba,11.83,0,13.53,0.1,13.53,12.17,13.53,9.58,13.53,17.48,14.24,1.52,14.24,0,17.46,14.2,55.05
Uttar Pradesh,Mirzapur ,14.06,0,17.81,0.1,17.81,16.03,17.81,17.81,17.81,17.81,19.39,9.48,19.39,9.91,23.78,18.79,89.93
Uttar Pradesh,Pratapgarh,14.51,0,18.66,0.1,18.66,16.79,18.66,18.66,18.66,18.66,20.41,14.56,20.41,0,25.03,10,78.77
Uttar Pradesh,Raibareilly,14.98,0,19.59,0.1,19.59,17.63,19.59,19.59,19.59,19.59,21.52,18.9,21.52,6.52,26.39,0,82.33
Uttar Pradesh,Sant Kabir Nagar,12.23,0,14.29,0.1,14.29,12.86,14.29,14.29,14.29,14.29,15.16,8.95,15.16,0,18.58,11.52,62.01
Uttar Pradesh,Shrawasti,12.26,0,14.34,0.1,14.34,12.9,14.34,14.34,14.34,14.34,15.22,15.22,15.22,7.94,18.67,5.78,70.62
Uttar Pradesh,Siddhartha Nagar,13.39,0,16.51,0.1,16.51,14.86,16.51,16.51,16.51,16.51,17.83,15.75,17.83,0,21.87,0,63.73
Uttar Pradesh,Sitapur,16.28,0,22.07,0.1,22.07,19.86,22.07,22.07,22.07,22.07,24.51,21.72,24.51,15.49,30.06,0,101.31
Uttar Pradesh,Sonbhadra,14.08,0,17.87,0.1,17.87,16.08,17.87,17.87,17.87,17.87,19.47,19.47,19.47,0,23.88,18.4,89.79
Uttar Pradesh,Unnao,14.77,0,19.17,0.1,19.17,17.25,19.17,19.17,19.17,19.17,21.02,21.02,21.02,16.82,25.78,0,93.53
Uttar Pradesh,Total (Development Grant),476.28,0,602.09,3.4,602.09,541.74,602.09,559.61,602.09,640.02,655.05,528.6,667.17,207.65,818.17,273.35,2754.37
Uttar Pradesh,Capacity Building ,34,0,34,25.3,34,0,34,20.26,34,28.07,34,12.21,35,0,35,0,85.84
Uttar Pradesh,Grand Total (DG +CB),510.28,0,636.09,28.7,636.09,541.74,636.09,579.87,636.09,668.09,689.05,540.81,702.17,207.65,853.17,273.35,2840.21
Uttarakhand,Chamoli,13.19,0,16.19,0.1,16.19,0,16.19,0,16.19,14.57,17.44,9.95,17.44,17.34,21.38,10.67,52.63
Uttarakhand,Champawat,10.84,0,11.63,0.1,11.63,0,11.63,0,11.63,10.47,11.96,6.76,11.96,10.76,14.67,0,28.09
Uttarakhand,Tehri Garhwal,12.08,0,14.03,0.1,14.03,0,14.03,0,14.03,12.62,14.84,10.84,14.84,18.74,18.2,12.12,54.42
Uttarakhand,Total (Development Grant),36.11,0,41.85,0.3,41.85,0,41.85,0,41.85,37.66,44.24,27.55,44.24,46.84,54.25,22.79,135.14
Uttarakhand,Capacity Building ,3,0,3,0,3,9,3,0,3,0,3,1.99,3,0,3,0,10.99
Uttarakhand,Grand Total (DG +CB),39.11,0,44.85,0.3,44.85,9,44.85,0,44.85,37.66,47.24,29.54,47.24,46.84,57.25,22.79,146.13
West Bengal,24 South Paraganas,20.76,0,30.66,27.7,30.66,23.6,30.66,7.24,30.66,30.66,34.84,34.84,34.84,32.49,42.73,0,156.53
West Bengal,Bankura,16.15,0,21.85,19.26,21.85,16.91,21.85,8.52,21.85,21.85,24.24,17.16,24.24,31.32,29.73,16.36,131.38
West Bengal,Birbhum,15.13,0,19.86,17.97,19.86,14.83,19.86,19.86,19.86,19.86,21.85,21.85,21.85,21.85,26.8,14.92,131.14
West Bengal,Dinajpur Dakshin,12.54,0,14.88,13.5,14.88,10.3,14.88,7.55,14.88,22.21,15.87,15.87,15.87,15.87,19.46,9.01,94.31
West Bengal,Dinajpur Uttar,13.97,0,17.64,15.98,17.64,1.76,17.64,11.51,17.64,17.64,19.18,19.18,19.18,19.18,23.52,11.88,97.13
West Bengal,Jalpaiguri,16.17,0,21.88,19.8,21.88,16.4,21.88,8.43,21.88,35.33,24.28,24.28,24.28,24.28,29.78,5,133.52
West Bengal,Maldah,15.13,0,19.85,10.1,19.85,4.37,19.85,32.06,19.85,19.85,21.84,21.84,21.84,21.84,26.8,0,110.06
West Bengal,Medinipur East ,16.75,0,22.97,10.1,22.97,6.75,22.97,24.81,22.97,22.97,25.59,8.53,25.59,42.65,31.4,21.82,137.63
West Bengal,Medinipur West ,19.65,0,28.57,25.81,28.57,21.98,28.57,11.44,28.57,28.57,32.32,3.81,32.32,25,39.64,0,116.61
